归因方式,cpsid,包体id,渠道,设备归因日期,设备激活数,账号注册数,角色创建数,f1,f3,f7,f15,f30,f60,f90,f180,累计付费金额,c1,c3,c7,c15,c30,c60,c90,c180,累计付费人数
TD,9010004,901,icn,2022/7/1,4,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,9010001,901,icn,2022/7/1,42,47,82,1130,1137,1464,2002,2002,2002,2002,2002,2002,8,9,11,11,11,11,11,11,11
TD,8721015,872,icn,2022/7/1,2,1,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,8721011,872,icn,2022/7/1,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,8721007,872,icn,2022/7/1,4,4,5,36,36,36,36,36,36,36,36,36,1,1,1,1,1,1,1,1,1
TD,8721006,872,icn,2022/7/1,1,1,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,8721001,872,icn,2022/7/1,1,1,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,7110039,711,icn,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,7110037,711,icn,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,7110018,711,icn,2022/7/1,1,1,1,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,7110010,711,icn,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,7110008,711,icn,2022/7/1,1,1,1,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,7110007,711,icn,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6115,6115,yc,2022/7/1,87,87,95,13,13,15,21,21,21,21,21,21,3,3,4,5,5,5,5,5,5
ORIG,6114,6114,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6113,6113,yc,2022/7/1,12,4,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
ORIG,6112,6112,yc,2022/7/1,5,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6056,6056,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6050,6050,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6049,6049,yc,2022/7/1,13,11,10,414,640,640,640,640,640,640,640,640,2,2,2,2,2,2,2,2,2
ORIG,6048,6048,yc,2022/7/1,2,2,2,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
ORIG,6046,6046,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6044,6044,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6043,6043,yc,2022/7/1,9,8,8,14,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4,4
ORIG,6042,6042,yc,2022/7/1,26,25,30,557,1081,1093,1239,1239,1239,1239,1239,1239,9,9,9,9,9,9,9,9,9
ORIG,6041,6041,yc,2022/7/1,2,2,2,30,30,30,30,30,30,30,30,30,1,1,1,1,1,1,1,1,1
ORIG,6009,6009,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6008,6008,yc,2022/7/1,9,9,12,194,942,1434,2264,2264,2264,2264,2264,2264,1,1,1,1,1,1,1,1,1
ORIG,6007,6007,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6006,6006,yc,2022/7/1,4,4,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6005,6005,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,6004,6004,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5998,5998,yc,2022/7/1,7,6,6,74,74,74,74,74,74,74,74,74,1,1,1,1,1,1,1,1,1
ORIG,5997,5997,yc,2022/7/1,6,5,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5996,5996,yc,2022/7/1,9,8,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5989,5989,yc,2022/7/1,1,1,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5987,5987,yc,2022/7/1,2,1,2,75,117,123,123,123,123,123,123,123,1,1,1,1,1,1,1,1,1
ORIG,5985,5985,yc,2022/7/1,5,5,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5983,5983,yc,2022/7/1,6,4,5,146,146,146,146,146,146,146,146,146,1,1,1,1,1,1,1,1,1
ORIG,5982,5982,yc,2022/7/1,8,5,10,0,6,6,6,6,6,6,6,6,0,1,1,1,1,1,1,1,1
ORIG,5856,5856,yc,2022/7/1,185,135,146,705,903,1231,2489,2489,2489,2489,2489,2489,12,13,15,16,16,16,16,16,16
ORIG,5808,5808,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5807,5807,yc,2022/7/1,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5802,5802,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5784,5784,yc,2022/7/1,89,443,719,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5781,5781,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5759,5759,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5717,5717,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5713,5713,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5693,5693,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5692,5692,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5659,5659,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5590,5590,yc,2022/7/1,15,11,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ORIG,5550,5550,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5518,5518,yc,2022/7/1,24,20,22,145,146,152,245,245,245,245,245,245,8,8,8,8,8,8,8,8,8
ORIG,5512,5512,yc,2022/7/1,56,105,103,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ORIG,5510,5510,yc,2022/7/1,16,11,13,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3
ORIG,5505,5505,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5501,5501,yc,2022/7/1,9,21,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5489,5489,yc,2022/7/1,109,128,177,31,61,61,97,97,97,97,97,97,26,26,26,27,27,27,27,27,27
ORIG,5488,5488,yc,2022/7/1,85,73,92,22,22,22,22,22,22,22,22,22,3,3,3,3,3,3,3,3,3
ORIG,5486,5486,yc,2022/7/1,1,1,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5485,5485,yc,2022/7/1,288,365,525,612,708,708,709,709,709,709,709,709,33,36,36,37,37,37,37,37,37
ORIG,5469,5469,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5467,5467,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5209,5209,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5192,5192,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,5075,5075,yc,2022/7/1,22,15,15,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2
ORIG,4951,4951,yc,2022/7/1,4,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,4948,4948,yc,2022/7/1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,4947,4947,yc,2022/7/1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,4940,4940,yc,2022/7/1,77,62,77,145,237,323,714,714,714,714,714,714,8,8,11,13,13,13,13,13,13
ORIG,4916,4916,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,4914,4914,yc,2022/7/1,5,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ORIG,4913,4913,yc,2022/7/1,119,86,97,556,559,719,1218,1218,1218,1218,1218,1218,17,18,18,22,22,22,22,22,22
TD,2570012,257,icn,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2570001,257,icn,2022/7/1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2160209,216,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2160208,216,yc,2022/7/1,4,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2160207,216,yc,2022/7/1,3,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2160206,216,yc,2022/7/1,21,17,15,12,12,12,12,12,12,12,12,12,2,2,2,2,2,2,2,2,2
TD,2160205,216,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2160204,216,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2133000,213,yc,2022/7/1,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130497,213,yc,2022/7/1,3,2,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130496,213,yc,2022/7/1,1,1,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
TD,2130495,213,yc,2022/7/1,5,7,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130494,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130492,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130490,213,yc,2022/7/1,8,6,7,78,84,84,84,84,84,84,84,84,3,3,3,3,3,3,3,3,3
TD,2130489,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130486,213,yc,2022/7/1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130485,213,yc,2022/7/1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130484,213,yc,2022/7/1,11,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TD,2130477,213,yc,2022/7/1,4,4,21,10,10,11,12,99,432,432,432,432,2,2,2,2,2,2,2,2,2
TD,2130476,213,yc,2022/7/1,1,1,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130473,213,yc,2022/7/1,5,3,3,128,128,128,128,128,128,128,128,128,1,1,1,1,1,1,1,1,1
TD,2130471,213,yc,2022/7/1,2,2,4,7,7,13,13,13,13,13,13,13,1,1,2,2,2,2,2,2,2
TD,2130469,213,yc,2022/7/1,4,4,4,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
TD,2130468,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130465,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130464,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130463,213,yc,2022/7/1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TD,2130462,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130461,213,yc,2022/7/1,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130444,213,yc,2022/7/1,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130442,213,yc,2022/7/1,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130441,213,yc,2022/7/1,1,1,1,99,99,99,99,99,99,99,99,99,1,1,1,1,1,1,1,1,1
TD,2130421,213,yc,2022/7/1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TD,2130412,213,yc,2022/7/1,1,1,1,0,30,30,30,30,30,30,30,30,0,1,1,1,1,1,1,1,1
