归因方式,cpsid,包体id,渠道,设备归因日期,设备激活数,账号注册数,角色创建数,f1,f3,f7,f15,f30,f60,f90,f180,累计付费金额,c1,c3,c7,c15,c30,c60,c90,c180,累计付费人数,次留,三留,七留,月留
TD,9010004,901,icn,2022-07-01,4,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,2,0,0,0
TD,9010001,901,icn,2022-07-01,40,43,63,1111,1148,1385,2072,3094,-,-,-,5023,9,10,11,12,14,-,-,-,14,20,12,13,6
TD,8721015,872,icn,2022-07-01,2,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,8721011,872,icn,2022-07-01,2,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,8721007,872,icn,2022-07-01,4,4,5,6,36,36,36,36,-,-,-,36,1,1,1,1,1,-,-,-,1,2,1,0,0
TD,8721006,872,icn,2022-07-01,1,1,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
TD,8721001,872,icn,2022-07-01,1,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
TD,7110039,711,icn,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,7110037,711,icn,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,7110018,711,icn,2022-07-01,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,1,1,0
TD,7110010,711,icn,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
TD,7110008,711,icn,2022-07-01,1,1,1,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,1,0,1,0
TD,7110007,711,icn,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,6115,6115,yc,2022-07-01,87,95,141,16,16,16,188,627,-,-,-,631,6,6,6,8,8,-,-,-,8,31,26,16,6
ORIG,6114,6114,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,6113,6113,yc,2022-07-01,12,4,6,0,6,6,6,36,-,-,-,36,0,1,1,1,1,-,-,-,1,2,1,0,0
ORIG,6112,6112,yc,2022-07-01,5,2,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,6056,6056,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,6050,6050,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,6049,6049,yc,2022-07-01,13,11,12,384,414,640,640,640,-,-,-,640,2,2,2,2,2,-,-,-,2,5,1,0,1
ORIG,6048,6048,yc,2022-07-01,2,2,2,6,6,6,6,6,-,-,-,6,1,1,1,1,1,-,-,-,1,0,0,0,0
ORIG,6046,6046,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,6044,6044,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,6043,6043,yc,2022-07-01,9,8,8,8,14,14,14,14,-,-,-,14,3,4,4,4,4,-,-,-,4,2,1,0,0
ORIG,6042,6042,yc,2022-07-01,26,25,41,137,789,1087,1249,1517,-,-,-,1798,9,9,9,9,9,-,-,-,10,11,10,4,3
ORIG,6041,6041,yc,2022-07-01,2,2,2,30,30,30,30,30,-,-,-,30,1,1,1,1,1,-,-,-,1,0,0,0,0
ORIG,6009,6009,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,6008,6008,yc,2022-07-01,9,10,12,66,646,1336,2264,3384,-,-,-,3988,1,1,1,1,1,-,-,-,1,3,1,1,1
ORIG,6007,6007,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,6006,6006,yc,2022-07-01,4,4,5,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
ORIG,6005,6005,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,6004,6004,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5998,5998,yc,2022-07-01,7,6,6,74,74,74,74,74,-,-,-,74,1,1,1,1,1,-,-,-,1,1,1,0,0
ORIG,5997,5997,yc,2022-07-01,6,5,5,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,2,1,0,0
ORIG,5996,5996,yc,2022-07-01,9,8,8,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,5989,5989,yc,2022-07-01,1,1,2,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,5987,5987,yc,2022-07-01,2,1,2,75,111,123,123,123,-,-,-,123,1,1,1,1,1,-,-,-,1,1,1,1,1
ORIG,5985,5985,yc,2022-07-01,5,5,6,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
ORIG,5983,5983,yc,2022-07-01,6,4,6,134,146,146,146,146,-,-,-,146,1,1,1,1,1,-,-,-,1,2,2,0,0
ORIG,5982,5982,yc,2022-07-01,8,5,11,0,0,6,6,6,-,-,-,6,0,0,1,1,1,-,-,-,1,1,1,1,0
ORIG,5856,5856,yc,2022-07-01,130,108,116,1234,1577,1608,3296,4552,-,-,-,4552,10,12,13,14,15,-,-,-,15,44,28,10,3
ORIG,5808,5808,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5807,5807,yc,2022-07-01,2,1,0,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,5802,5802,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5784,5784,yc,2022-07-01,87,1346,2204,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,932,43,0,1
ORIG,5781,5781,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5759,5759,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5717,5717,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5713,5713,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5693,5693,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5692,5692,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5659,5659,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5590,5590,yc,2022-07-01,14,11,12,6,6,6,6,6,-,-,-,6,6,6,6,6,6,-,-,-,6,1,0,0,0
ORIG,5550,5550,yc,2022-07-01,1,1,1,0,40,208,268,406,-,-,-,407,0,1,1,1,1,-,-,-,1,0,1,1,1
ORIG,5518,5518,yc,2022-07-01,24,21,25,109,146,152,245,247,-,-,-,248,8,8,8,8,9,-,-,-,9,9,5,4,2
ORIG,5512,5512,yc,2022-07-01,55,104,102,4,4,4,4,4,-,-,-,4,4,4,4,4,4,-,-,-,4,25,1,0,0
ORIG,5510,5510,yc,2022-07-01,16,20,40,16,28,33,36,36,-,-,-,36,10,11,11,11,11,-,-,-,11,15,6,2,0
ORIG,5505,5505,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5501,5501,yc,2022-07-01,8,21,17,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,15,0,0,0
ORIG,5489,5489,yc,2022-07-01,109,131,184,33,64,64,100,456,-,-,-,689,28,29,29,30,32,-,-,-,32,40,13,9,5
ORIG,5488,5488,yc,2022-07-01,82,73,91,22,22,22,22,22,-,-,-,22,3,3,3,3,3,-,-,-,3,1,1,1,0
ORIG,5486,5486,yc,2022-07-01,1,1,3,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,1,0,0,0
ORIG,5485,5485,yc,2022-07-01,283,383,533,602,686,746,746,746,-,-,-,746,37,44,45,45,45,-,-,-,45,144,72,25,10
ORIG,5469,5469,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5467,5467,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5209,5209,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,5192,5192,yc,2022-07-01,1,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,5075,5075,yc,2022-07-01,22,15,15,7,7,7,7,7,-,-,-,7,2,2,2,2,2,-,-,-,2,4,2,1,0
ORIG,4951,4951,yc,2022-07-01,4,1,1,0,0,0,0,522,-,-,-,1642,0,0,0,0,1,-,-,-,1,1,1,1,1
ORIG,4948,4948,yc,2022-07-01,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,4947,4947,yc,2022-07-01,2,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,4940,4940,yc,2022-07-01,72,67,84,96,162,271,731,1407,-,-,-,2061,8,9,12,15,15,-,-,-,15,31,11,6,7
ORIG,4916,4916,yc,2022-07-01,1,0,0,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,0,-,-,-,-
ORIG,4914,4914,yc,2022-07-01,5,1,1,0,0,0,0,0,-,-,-,,0,0,0,0,0,-,-,-,0,0,0,0,0
ORIG,4913,4913,yc,2022-07-01,108,83,95,389,556,716,1223,1353,-,-,-,1414,13,15,16,21,21,-,-,-,22,41,38,20,8
